"filename", "language", "JSON with Comments", "JavaScript", "PostCSS", "Markdown", "Astro", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\persona.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\roles.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\usuarios.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\actualizarPaciente.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 8, 58
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\actualizarProducto.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 1, 8, 61
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\actualizarUsuario.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 68
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\agregarPaciente.ts", "TypeScript", 0, 0, 0, 0, 0, 141, 0, 0, 0, 12, 153
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\agregarProducto.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\agregarUsuario.ts", "TypeScript", 0, 0, 0, 0, 0, 44, 0, 0, 0, 7, 51
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\eliminarPaciente.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\eliminarProducto.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 4, 7, 40
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\eliminarUsuario.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\obtenerPacientes.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\obtenerRoles.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\obtenerUsuarios.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
